2018-10-05,良,54,110,16
2018-10-06,良,65,183,27
2018-10-07,良,55,140,15
2018-10-08,良,55,145,14
2018-10-09,优,45,113,15
2018-10-10,优,35,74,8
2018-10-11,优,49,171,18
2018-10-12,良,52,132,21
2018-10-13,良,60,181,26
2018-10-14,良,55,180,21
2018-10-15,良,60,246,30
2018-10-16,良,81,300,54
2018-10-17,良,51,182,20
2018-10-18,优,49,174,13
2018-10-19,优,49,162,16
2018-10-20,良,55,206,22
2018-10-21,优,49,141,19
2018-10-22,优,49,145,20
2018-10-23,良,67,248,26
2018-10-24,良,75,243,36
2018-10-25,良,73,237,41
2018-10-26,良,71,287,28
2018-10-27,良,54,169,14
2018-10-28,良,65,242,26
2018-10-29,优,46,125,10
2018-10-30,优,48,105,16
2018-10-31,优,45,81,14
2018-11-01,良,63,165,29
2018-11-02,良,69,211,39
2018-11-03,优,42,65,15
2018-11-04,优,41,92,15
2018-11-05,良,52,203,28
2018-11-06,优,31,65,12
2018-11-07,优,45,189,20
2018-11-08,优,41,156,25
2018-11-09,良,72,277,50
2018-11-10,良,94,327,64
2018-11-11,良,59,165,34
2018-11-12,良,61,191,31
2018-11-13,良,79,247,53
2018-11-14,良,87,262,62
2018-11-15,良,71,254,49
2018-11-16,良,52,270,24
2018-11-17,良,54,260,27
2018-11-18,良,80,305,56
2018-11-19,轻度污染,102,325,69
2018-11-20,轻度污染,105,317,77
2018-11-21,良,81,298,54
2018-11-22,良,59,177,31
